date_local,std_quartile,mean_daily,std_daily,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2024-03-07,1,8.522916666666667,9.67632497574528,14.13,4.89,3.51,3.2,3.2,3.2,4.89,14.0,17.0,5.7,3.9,3.2,2.0,0.43,0.43,0.43,0.76,3.2,5.48,24.67,35.0,30.0,16.0,5.33
2024-07-31,2,105.34125,17.78295894401007,115.82,112.14,111.14,112.14,112.44,113.03,115.34,118.48,115.34,111.14,105.0,86.1,82.1,81.97,81.71,80.01,79.59,79.8,94.37,111.14,117.53,142.48,132.4,116.98
2024-04-28,3,28.7225,25.05575578237637,56.39,38.96,39.6,35.01,35.01,35.5,35.76,36.73,35.0,14.98,0.44,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,20.66,35.01,58.88,78.56,72.21,60.65
2024-10-13,4,52.750416666666666,36.788800337244254,69.78,62.91,57.0,58.69,55.0,60.87,55.1,64.97,60.0,46.5,35.06,6.99,4.49,0.08,0.0,0.0,6.8,31.28,62.82,93.08,116.97,121.28,102.78,93.56
